Grid_Number,Grid_Population
0,3523
1,3178
2,524
3,711
4,369
5,3734
6,9987
7,6084
8,8389
9,3047
10,13050
11,15306
12,8428
13,2645
14,14646
15,22297
16,15952
17,8648
18,10746
19,841
20,1453
21,1602
22,1696
23,3278
24,1434
25,5259
26,12058
27,12218
28,7132
29,14048
30,16262
31,11795
32,7124
33,18419
34,17224
35,12954
36,5565
37,6211
38,682
39,38
40,2963
41,3207
42,8580
43,738
44,4756
45,4464
46,10920
47,15797
48,15971
49,23982
50,22717
51,19764
52,22455
53,11377
54,18634
55,6537
56,1004
57,7921
58,2497
59,1131
60,3724
61,2721
62,12437
63,8866
64,10771
65,18510
66,16343
67,17747
68,20706
69,16691
70,15900
71,22988
72,18132
73,20997
74,10163
75,8373
76,2333
77,8184
78,3966
79,8656
80,4544
81,16031
82,19200
83,19098
84,20153
85,15198
86,18436
87,13987
88,12721
89,16823
90,24372
91,24831
92,24738
93,21686
94,21525
95,1973
96,13384
97,16803
98,12534
99,5567
100,5490
101,13996
102,17830
103,23836
104,22432
105,20165
106,16682
107,21148
108,24906
109,25342
110,23059
111,23604
112,19356
113,3230
114,4594
115,7064
116,15402
117,16060
118,12259
119,2818
120,11603
121,18114
122,24664
123,24966
124,27463
125,24956
126,24774
127,25662
128,26228
129,24112
130,21862
131,21333
132,8665
133,237
134,4221
135,15487
136,14576
137,20800
138,19396
139,19153
140,22257
141,24858
142,24224
143,26275
144,27413
145,26760
146,27221
147,25721
148,14217
149,14727
150,21745
151,6192
152,8730
153,13814
154,21562
155,16289
156,19649
157,22700
158,22331
159,25996
160,27117
161,26545
162,27651
163,28693
164,18562
165,8101
166,13652
167,19641
168,8666
169,6902
170,2156
171,11648
172,13701
173,16899
174,23629
175,20497
176,25765
177,27781
178,27570
179,26579
180,28409
181,29109
182,26148
183,2929
184,302
185,11195
186,24639
187,12422
188,22358
189,14649
190,9720
191,10480
192,14433
193,21543
194,22932
195,21109
196,23779
197,27649
198,25464
199,25116
200,28196
201,25958
202,15875
203,8776
204,19247
205,21363
206,23121
207,25432
208,23418
209,3562
210,6525
211,11497
212,16508
213,16679
214,22625
215,26071
216,26239
217,26717
218,23639
219,28384
220,27766
221,26222
222,25709
223,27196
224,20126
225,25853
226,23793
227,17597
228,2500
229,4091
230,8597
231,8167
232,14513
233,24491
234,26230
235,24740
236,20089
237,18348
238,27261
239,27296
240,26219
241,28143
242,28132
243,27512
244,25140
245,20537
246,21886
247,962
248,4526
249,7399
250,7054
251,12638
252,22204
253,23594
254,23307
255,22548
256,18367
257,24562
258,24871
259,26008
260,25863
261,25309
262,19207
263,15301
264,5809
265,21632
266,3185
267,12853
268,11599
269,12103
270,13161
271,20872
272,14975
273,24370
274,11494
275,15987
276,15083
277,2841
278,12963
279,21665
280,21788
281,20058
282,7653
283,9483
284,16829
285,2316
286,8321
287,8721
288,12362
289,17412
290,21049
291,21398
292,23104
293,15602
294,11126
295,16147
296,5004
297,4391
298,16559
299,20926
300,22748
301,22390
302,18760
303,19966
