Grid_Number,Kol_n_Government_Facilities
0,63.0
1,89.0
2,111.0
3,123.0
4,138.0
5,161.0
6,169.0
7,174.0
8,181.0
9,178.0
10,141.0
11,107.0
12,84.0
13,62.0
14,89.0
15,135.0
16,173.0
17,217.0
18,232.0
19,33.0
20,237.0
21,253.0
22,249.0
23,234.0
24,193.0
25,146.0
26,115.0
27,90.0
28,133.0
29,202.0
30,280.0
31,314.0
32,46.0
33,335.0
34,301.0
35,352.0
36,343.0
37,303.0
38,289.0
39,230.0
40,140.0
41,118.0
42,246.0
43,323.0
44,369.0
45,45.0
46,55.0
47,508.0
48,558.0
49,537.0
50,495.0
51,444.0
52,386.0
53,311.0
54,230.0
55,158.0
56,311.0
57,392.0
58,458.0
59,95.0
60,82.0
61,757.0
62,803.0
63,761.0
64,681.0
65,592.0
66,518.0
67,417.0
68,281.0
69,191.0
70,389.0
71,485.0
72,559.0
73,701.0
74,143.0
75,75.0
76,968.0
77,952.0
78,836.0
79,725.0
80,645.0
81,536.0
82,331.0
83,221.0
84,436.0
85,120.0
86,169.0
87,810.0
88,979.0
89,1037.0
90,1057.0
91,1042.0
92,959.0
93,847.0
94,729.0
95,612.0
96,440.0
97,282.0
98,491.0
99,120.0
100,208.0
101,220.0
102,222.0
103,1094.0
104,1116.0
105,1103.0
106,1014.0
107,921.0
108,812.0
109,659.0
110,510.0
111,336.0
112,528.0
113,147.0
114,183.0
115,238.0
116,278.0
117,258.0
118,323.0
119,351.0
120,333.0
121,262.0
122,175.0
123,746.0
124,557.0
125,354.0
126,548.0
127,145.0
128,166.0
129,193.0
130,220.0
131,267.0
132,306.0
133,298.0
134,315.0
135,231.0
136,167.0
137,115.0
138,577.0
139,370.0
140,449.0
141,630.0
142,728.0
143,155.0
144,156.0
145,170.0
146,200.0
147,184.0
148,217.0
149,198.0
150,158.0
151,116.0
152,89.0
153,50.0
154,382.0
155,490.0
156,606.0
157,764.0
158,99.0
159,101.0
160,112.0
161,134.0
162,130.0
163,143.0
164,142.0
165,131.0
166,111.0
167,70.0
168,322.0
169,378.0
170,453.0
171,569.0
172,645.0
173,694.0
174,56.0
175,80.0
176,96.0
177,633.0
178,547.0
179,447.0
180,374.0
181,294.0
182,249.0
183,306.0
184,341.0
185,390.0
186,451.0
187,454.0
188,488.0
189,488.0
190,478.0
191,482.0
192,417.0
193,362.0
194,302.0
195,231.0
