Grid_Number,Kol_popu_Government_Facilities
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,2736.0
7,-1.0
8,9323.0
9,-1.0
10,5017.0
11,-1.0
12,3747.0
13,-1.0
14,-1.0
15,-1.0
16,24371.0
17,19208.0
18,13839.0
19,8543.0
20,5423.0
21,7162.0
22,9834.0
23,1437.0
24,6548.0
25,2378.0
26,9983.0
27,-1.0
28,-1.0
29,5054.0
30,24371.0
31,13984.0
32,18733.0
33,3555.0
34,2889.0
35,1097.0
36,3718.0
37,1957.0
38,9385.0
39,11923.0
40,14290.0
41,-1.0
42,-1.0
43,4376.0
44,11876.0
45,22229.0
46,4455.0
47,6153.0
48,3025.0
49,3709.0
50,8676.0
51,2180.0
52,4426.0
53,3360.0
54,14290.0
55,-1.0
56,3136.0
57,6812.0
58,8449.0
59,22400.0
60,11084.0
61,3793.0
62,5236.0
63,1463.0
64,7790.0
65,6986.0
66,7493.0
67,10643.0
68,6736.0
69,-1.0
70,7776.0
71,9088.0
72,2155.0
73,7105.0
74,3034.0
75,1421.0
76,3268.0
77,5742.0
78,7329.0
79,5017.0
80,4335.0
81,7497.0
82,9172.0
83,-1.0
84,-1.0
85,4417.0
86,6501.0
87,4806.0
88,6893.0
89,7089.0
90,9562.0
91,2380.0
92,3725.0
93,1045.0
94,6393.0
95,9764.0
96,6857.0
97,-1.0
98,4199.0
99,2130.0
100,1326.0
101,2582.0
102,3743.0
103,2645.0
104,1778.0
105,1596.0
106,546.0
107,1348.0
108,1663.0
109,3056.0
110,5629.0
111,2612.0
112,-1.0
113,959.0
114,3319.0
115,2973.0
116,1569.0
117,420.0
118,2588.0
119,2064.0
120,1668.0
121,5037.0
122,2580.0
123,2320.0
124,4962.0
125,4758.0
126,7671.0
127,6944.0
128,1498.0
129,3042.0
130,6748.0
131,2209.0
132,2883.0
133,2864.0
134,2141.0
135,2893.0
136,1375.0
137,2472.0
138,4536.0
139,-1.0
140,3133.0
141,10362.0
142,7986.0
143,11743.0
144,4283.0
145,10854.0
146,5626.0
147,4220.0
148,5146.0
149,485.0
150,3722.0
151,3635.0
152,9856.0
153,12174.0
154,1949.0
155,7169.0
156,3650.0
157,8031.0
158,4315.0
159,11552.0
160,14825.0
161,5122.0
162,15321.0
163,7496.0
164,3336.0
165,4180.0
166,3700.0
167,4457.0
168,2266.0
169,5955.0
170,876.0
171,2065.0
172,8448.0
173,11355.0
174,7618.0
175,4550.0
176,6715.0
177,4667.0
178,4722.0
179,9090.0
180,3715.0
181,4683.0
182,1520.0
183,-1.0
184,3462.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,10311.0
191,3103.0
192,2565.0
193,2643.0
194,8693.0
195,-1.0
