Grid_Number,Hyd_n_Health
0,24.0
1,38.0
2,79.0
3,153.0
4,173.0
5,252.0
6,329.0
7,468.0
8,570.0
9,623.0
10,648.0
11,738.0
12,709.0
13,760.0
14,761.0
15,658.0
16,513.0
17,427.0
18,340.0
19,70.0
20,94.0
21,138.0
22,213.0
23,295.0
24,382.0
25,417.0
26,668.0
27,770.0
28,793.0
29,878.0
30,221.0
31,972.0
32,989.0
33,972.0
34,885.0
35,697.0
36,509.0
37,420.0
38,101.0
39,134.0
40,208.0
41,324.0
42,410.0
43,454.0
44,585.0
45,829.0
46,946.0
47,135.0
48,202.0
49,283.0
50,1232.0
51,1180.0
52,1149.0
53,1034.0
54,858.0
55,645.0
56,512.0
57,122.0
58,182.0
59,254.0
60,444.0
61,545.0
62,662.0
63,794.0
64,888.0
65,177.0
66,236.0
67,252.0
68,272.0
69,1512.0
70,1470.0
71,1362.0
72,1144.0
73,947.0
74,781.0
75,624.0
76,186.0
77,267.0
78,350.0
79,544.0
80,685.0
81,106.0
82,192.0
83,227.0
84,249.0
85,1318.0
86,291.0
87,1543.0
88,1592.0
89,1594.0
90,1496.0
91,1221.0
92,1063.0
93,848.0
94,607.0
95,256.0
96,341.0
97,483.0
98,641.0
99,808.0
100,971.0
101,202.0
102,241.0
103,321.0
104,315.0
105,291.0
106,1601.0
107,1633.0
108,1543.0
109,1466.0
110,1202.0
111,1094.0
112,878.0
113,620.0
114,301.0
115,414.0
116,564.0
117,788.0
118,891.0
119,1063.0
120,176.0
121,238.0
122,243.0
123,287.0
124,312.0
125,256.0
126,1647.0
127,1620.0
128,1428.0
129,1229.0
130,1072.0
131,878.0
132,673.0
133,330.0
134,476.0
135,130.0
136,150.0
137,172.0
138,219.0
139,219.0
140,225.0
141,230.0
142,289.0
143,284.0
144,283.0
145,270.0
146,264.0
147,296.0
148,1284.0
149,1130.0
150,931.0
151,671.0
152,362.0
153,94.0
154,141.0
155,186.0
156,217.0
157,251.0
158,267.0
159,243.0
160,253.0
161,236.0
162,268.0
163,274.0
164,247.0
165,1547.0
166,1555.0
167,179.0
168,1206.0
169,967.0
170,767.0
171,346.0
172,102.0
173,687.0
174,184.0
175,213.0
176,253.0
177,263.0
178,264.0
179,259.0
180,238.0
181,277.0
182,254.0
183,1584.0
184,1654.0
185,1545.0
186,193.0
187,1152.0
188,161.0
189,728.0
190,351.0
191,535.0
192,123.0
193,143.0
194,194.0
195,265.0
196,269.0
197,295.0
198,265.0
199,289.0
200,270.0
201,252.0
202,230.0
203,1518.0
204,215.0
205,212.0
206,1118.0
207,848.0
208,680.0
209,315.0
210,498.0
211,743.0
212,131.0
213,166.0
214,243.0
215,276.0
216,266.0
217,253.0
218,229.0
219,258.0
220,283.0
221,245.0
222,307.0
223,283.0
224,316.0
225,1079.0
226,885.0
227,739.0
228,317.0
229,478.0
230,651.0
231,854.0
232,1076.0
233,226.0
234,283.0
235,283.0
236,254.0
237,280.0
238,231.0
239,268.0
240,300.0
241,284.0
242,276.0
243,273.0
244,1045.0
245,864.0
246,685.0
247,244.0
248,436.0
249,527.0
250,696.0
251,907.0
252,1056.0
253,256.0
254,280.0
255,279.0
256,257.0
257,226.0
258,219.0
259,230.0
260,215.0
261,249.0
262,202.0
263,972.0
264,830.0
265,628.0
266,191.0
267,333.0
268,451.0
269,624.0
270,787.0
271,855.0
272,970.0
273,990.0
274,1028.0
275,1110.0
276,1063.0
277,1097.0
278,1038.0
279,1046.0
280,1031.0
281,169.0
282,819.0
283,718.0
284,545.0
285,143.0
286,231.0
287,342.0
288,501.0
289,633.0
290,719.0
291,810.0
292,869.0
293,846.0
294,899.0
295,858.0
296,870.0
297,843.0
298,835.0
299,860.0
300,701.0
301,668.0
302,557.0
303,409.0
