Grid_Number,Kol_popu_Health
0,-1.0
1,-1.0
2,4477.0
3,486.0
4,3563.0
5,2315.0
6,4271.0
7,3323.0
8,3504.0
9,-1.0
10,-1.0
11,-1.0
12,10056.0
13,-1.0
14,1918.0
15,2590.0
16,6637.0
17,22311.0
18,3211.0
19,762.0
20,3307.0
21,1686.0
22,5017.0
23,2570.0
24,4159.0
25,5981.0
26,7127.0
27,-1.0
28,-1.0
29,1915.0
30,4667.0
31,22311.0
32,21386.0
33,10142.0
34,1391.0
35,1400.0
36,4295.0
37,956.0
38,3095.0
39,4349.0
40,708.0
41,-1.0
42,1853.0
43,1019.0
44,7811.0
45,34694.0
46,10158.0
47,3142.0
48,3118.0
49,2635.0
50,2374.0
51,790.0
52,5448.0
53,3872.0
54,3359.0
55,-1.0
56,2421.0
57,1319.0
58,5709.0
59,21176.0
60,3199.0
61,6021.0
62,5129.0
63,913.0
64,1698.0
65,2449.0
66,6503.0
67,8303.0
68,4793.0
69,-1.0
70,2797.0
71,3508.0
72,819.0
73,1269.0
74,119.0
75,7835.0
76,4204.0
77,2051.0
78,2697.0
79,2091.0
80,4585.0
81,6111.0
82,3683.0
83,3851.0
84,-1.0
85,769.0
86,5366.0
87,4825.0
88,9129.0
89,16191.0
90,22078.0
91,2773.0
92,5358.0
93,2343.0
94,633.0
95,4305.0
96,3917.0
97,2701.0
98,3262.0
99,153.0
100,1480.0
101,661.0
102,1620.0
103,5002.0
104,1794.0
105,9227.0
106,1373.0
107,6529.0
108,939.0
109,908.0
110,676.0
111,4603.0
112,11793.0
113,1726.0
114,1347.0
115,682.0
116,4786.0
117,1728.0
118,1722.0
119,4486.0
120,3006.0
121,2547.0
122,2735.0
123,6851.0
124,6423.0
125,2913.0
126,3531.0
127,1639.0
128,3515.0
129,2339.0
130,5950.0
131,3744.0
132,2352.0
133,4168.0
134,5184.0
135,3717.0
136,697.0
137,1257.0
138,4719.0
139,-1.0
140,1385.0
141,2166.0
142,3660.0
143,4227.0
144,1712.0
145,2244.0
146,1262.0
147,5162.0
148,1573.0
149,1501.0
150,5738.0
151,3968.0
152,4052.0
153,4091.0
154,3140.0
155,5661.0
156,3461.0
157,6042.0
158,1665.0
159,4215.0
160,7663.0
161,4737.0
162,2611.0
163,7575.0
164,6022.0
165,4302.0
166,1788.0
167,965.0
168,786.0
169,737.0
170,723.0
171,1847.0
172,3315.0
173,19670.0
174,27259.0
175,318.0
176,2273.0
177,4773.0
178,3960.0
179,6145.0
180,4504.0
181,5494.0
182,908.0
183,4167.0
184,1181.0
185,-1.0
186,-1.0
187,-1.0
188,4945.0
189,-1.0
190,-1.0
191,-1.0
192,1202.0
193,2532.0
194,5387.0
195,-1.0
